Tên tác giả,Tên sách,STT,Trích dẫn
Lý Thượng Long,Đại Học Không Lạc Hướng,1,"“Giống như việc bạn nghe giảng rất nhiều nhưng không làm đề thi thì không thể thi đỗ là điều đương nhiên, bạn nghe rất nhiều huấn luyện viên chỉ dạy nhưng bạn không tập luyện thì bạn vẫn chỉ là heo mũm mĩm mà thôi; bạn nghe đọc rất nhiều phương pháp nhưng đều không bước đi bước đầu tiên, lâu dần, giấc mơ cũng chỉ là giấc mơ,...”"
Lý Thượng Long,Đại Học Không Lạc Hướng,2,"“Con người xét cho cùng là động vật sống theo quán tính, kiên trì được mười mấy ngày tự nhiên sẽ hình thành thói quen, phần còn lại giao cho thời gian là được rồi.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,3,“Dòng chảy tâm lý là trạng thái tâm lý mà con người hoàn toàn tập trung tất cả tâm trí của mình vào một việc gì đó.”
Lý Thượng Long,Đại Học Không Lạc Hướng,4,"“Mỗi tối chia công việc ngày hôm sau thành: buộc phải làm, thích làm, làm cũng được không làm cũng không bị ảnh hưởng. Sau đó căn cứ theo thứ tự này, đầu tiên làm việc buộc phải làm, tiếp theo làm việc mình thích, cuối cùng làm việc làm cũng được, không làm cũng không bị ảnh hưởng.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,5,"“Bên cạnh sắp xếp thời gian ngủ hợp lí, cách nghỉ ngơi đúng đắn là tiến hành điều chỉnh hoạt động của cơ thể thông qua phương thức luân phiên sử dụng hai bán cầu não trái và phải.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,6,"“Hai bán cầu não được phân chia chức năng khác nhau, bán cầu não trái cảm nhận và điều khiển phần cơ thể bên phải, bán cầu não phải cảm nhận và điều khiển phần cơ thể bên trái.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,7,"“Tóm lại: não trái phụ trách tư duy lí tính, não phải phụ trách tư duy cảm tính.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,8,"“Cách nghỉ ngơi tốt nhất đó là học cách điều tiết, học cách cân bằng, học cách luân phiên sử dụng hai bán cầu não.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,9,"“Người đang chạy luôn cảm thấy thế giới đang chuyển động, còn người ngủ nhiều thì sẽ chỉ đối diện với thế giới này một cách uể oải và biếng nhác mà thôi.”"
Lý Thượng Long,Đại Học Không Lạc Hướng,10,"“Sở dĩ nảy sinh quan niệm khác nhau là vì xuất phát điểm của mỗi người không giống nhau, vì quan niệm khác nhau cho nên thế giới này mới đa dạng.”"
